id	sz_name	sz_name_en	sz_class	quality	type	spriteid	iconId	need_level	maxHp	maxMp	sz_atk	sz_dfs	sz_description
1	新手衣服(男)		Equipment	1	1	4	60	0	0	0	{}	{10,10,10}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
2	裁决之杖		Equipment	4	2	5	55	0	0	0	{{0,30}}	{}	裁决之杖是游戏《热血传奇》里战士的一种武器。玩家称之为棒子，裁决之杖： 重量：80 耐久：32看起来象根木杖，但其实却是用精良的铸铁打造而成。据传，这种武器曾经被一位统治了大片疆域的王者使用
3	圣战头盔		Equipment	4	3	0	104	0	0	0	{{0,2}}	{3,1,0}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
4	重盔甲(男)		Equipment	3	1	6	62	0	1000	50	{{0,30}}	{1000,1000,1000}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
5	木棍		Equipment	1	2	16	30	0	0	0	{{0,3}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
6	桃木棍		Equipment	1	2	17	43	0	0	0	{{1,3}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
7	短剑		Equipment	1	2	18	36	0	0	0	{{3,3}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
8	砍山斧		Equipment	1	2	19	32	0	0	0	{{0,5}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
9	魔杖		Equipment	2	2	20	42	0	0	0	{{0,3},{0,2}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
10	巨齿剑		Equipment	2	2	21	34	0	0	0	{{0,7}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
11	银剑		Equipment	2	2	22	34	0	0	0	{{0,7}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
12	银蛇		Equipment	2	2	23	38	0	0	0	{{0,6},{1,3}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
13	弯月		Equipment	2	2	24	46	0	0	0	{{2,8}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
14	屠龙		Equipment	5	2	25	57	0	0	0	{{0,35}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
15	噬魂法杖		Equipment	4	2	26	58	0	0	0	{{0,10},{10,20}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
16	权力骨杖		Equipment	4	2	27	59	0	0	0	{{0,8}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
17	命运之刃		Equipment	4	2	28	65	0	0	0	{{0,26}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
18	怒斩		Equipment	5	2	29	70	0	0	0	{{12,27}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
19	开天		Equipment	5	2	30	72	0	0	0	{{10,37}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
20	龙纹		Equipment	5	2	31	73	0	0	0	{{7,20},{7,20}}	{}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
21	新手衣服(女)		Equipment	1	1	34	80	0	0	0	{{0,2}}	{3,1,0}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
22	轻盔甲(男)		Equipment	2	1	35	61	0	0	0	{{0,2}}	{3,1,0}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
23	轻盔甲(女)		Equipment	2	1	36	81	0	0	0	{{0,2}}	{3,1,0}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
24	重盔甲(女)		Equipment	3	1	37	82	0	0	0	{{0,2}}	{3,1,0}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
25	魔法袍(男)		Equipment	3	1	38	63	0	0	0	{{0,2}}	{3,1,0}	来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
