id	x	y	sz_aiScript	style	reviveTime	alertArea	sz_skill
1	304	299	MonsterBaseAI	29	100	10	
2	303	293	MonsterBaseAI	29	100	10	
3	300	299	MonsterBaseAI	29	100	10	
4	298	290	MonsterBaseAI	29	100	10	
5	300	281	MonsterBaseAI	29	100	10	
6	300	278	MonsterBaseAI	29	100	10	
7	295	278	MonsterBaseAI	29	100	10	
8	290	282	MonsterBaseAI	29	100	10	
9	291	289	MonsterBaseAI	29	100	10	
10	288	289	MonsterBaseAI	29	100	10	
11	284	292	MonsterBaseAI	29	100	10	
12	281	288	MonsterBaseAI	29	100	10	
13	279	291	MonsterBaseAI	29	100	10	
14	274	287	MonsterBaseAI	29	100	10	
15	271	284	MonsterBaseAI	29	100	10	
16	273	292	MonsterBaseAI	29	100	10	
17	268	285	MonsterBaseAI	29	100	10	
18	270	277	MonsterBaseAI	29	100	10	
19	270	268	MonsterBaseAI	29	100	10	
20	268	271	MonsterBaseAI	29	100	10	
21	263	264	MonsterBaseAI	29	100	10	
22	265	261	MonsterBaseAI	29	100	10	
23	259	266	MonsterBaseAI	29	100	10	
24	259	256	MonsterBaseAI	29	100	10	
25	259	261	MonsterBaseAI	29	100	10	
26	251	249	MonsterBaseAI	29	100	10	
27	253	246	MonsterBaseAI	29	100	10	
28	250	246	MonsterBaseAI	29	100	10	
29	244	247	MonsterBaseAI	29	100	10	
30	244	240	MonsterBaseAI	29	100	10	
31	243	232	MonsterBaseAI	29	100	10	
32	247	227	MonsterBaseAI	29	100	10	
33	243	220	MonsterBaseAI	29	100	10	
34	237	204	MonsterBaseAI	29	100	10	
35	231	209	MonsterBaseAI	29	100	10	
36	222	213	MonsterBaseAI	29	100	10	
37	218	221	MonsterBaseAI	29	100	10	
38	214	230	MonsterBaseAI	29	100	10	
39	207	232	MonsterBaseAI	30	100	10	
40	204	235	MonsterBaseAI	30	100	10	
41	206	241	MonsterBaseAI	30	100	10	
42	200	226	MonsterBaseAI	30	100	10	
43	198	219	MonsterBaseAI	30	100	10	
44	193	219	MonsterBaseAI	30	100	10	
45	190	225	MonsterBaseAI	30	100	10	
46	193	212	MonsterBaseAI	30	100	10	
47	195	207	MonsterBaseAI	30	100	10	
48	197	196	MonsterBaseAI	30	100	10	
49	201	194	MonsterBaseAI	30	100	10	
50	211	192	MonsterBaseAI	30	100	10	
51	217	187	MonsterBaseAI	30	100	10	
52	213	182	MonsterBaseAI	30	100	10	
53	216	177	MonsterBaseAI	30	100	10	
54	212	173	MonsterBaseAI	30	100	10	
55	205	172	MonsterBaseAI	30	100	10	
56	207	164	MonsterBaseAI	30	100	10	
57	205	168	MonsterBaseAI	30	100	10	
58	200	169	MonsterBaseAI	30	100	10	
59	195	166	MonsterBaseAI	30	100	10	
60	192	172	MonsterBaseAI	30	100	10	
61	187	180	MonsterBaseAI	30	100	10	
62	179	182	MonsterBaseAI	29	100	10	
63	168	183	MonsterBaseAI	29	100	10	
64	167	178	MonsterBaseAI	29	100	10	
65	161	169	MonsterBaseAI	29	100	10	
66	164	161	MonsterBaseAI	29	100	10	
67	161	153	MonsterBaseAI	29	100	10	
68	155	157	MonsterBaseAI	31	100	10	
69	144	158	MonsterBaseAI	29	100	10	
70	136	151	MonsterBaseAI	30	100	10	
71	136	149	MonsterBaseAI	30	100	10	
72	130	143	MonsterBaseAI	30	100	10	
73	129	150	MonsterBaseAI	30	100	10	
74	135	142	MonsterBaseAI	30	100	10	
75	133	147	MonsterBaseAI	30	100	10	
76	131	136	MonsterBaseAI	30	100	10	
77	135	132	MonsterBaseAI	30	100	10	
78	130	131	MonsterBaseAI	30	100	10	
79	136	138	MonsterBaseAI	30	100	10	
