id	x	y	sz_aiScript	style	reviveTime	alertArea	sz_skill	camp
1	177	212	MonsterBaseAI	8	100	10		2
2	181	212	MonsterBaseAI	8	100	10		2
3	183	208	MonsterBaseAI	8	100	10		2
4	183	204	MonsterBaseAI	8	100	10		2
5	183	200	MonsterBaseAI	8	100	10		2
6	180	200	MonsterBaseAI	8	100	10		2
7	167	180	MonsterBaseAI	8	1000	10		2
8	173	190	MonsterBaseAI	8	1000	10		2
9	171	199	MonsterBaseAI	8	1000	10		2
10	171	206	MonsterBaseAI	8	1000	10		2
11	167	200	MonsterBaseAI	9	1000	10		2
12	186	207	MonsterBaseAI	9	1000	10		2
13	174	167	MonsterBaseAI	9	1000	10		2
14	168	150	MonsterBaseAI	9	1000	10		2
15	163	177	MonsterBaseAI	9	100	10		2
16	173	142	MonsterBaseAI	9	1000	10		2
17	175	140	MonsterBaseAI	9	1000	10		2
18	178	130	MonsterBaseAI	9	1000	10		2
19	178	129	MonsterBaseAI	9	1000	10		2
20	179	127	MonsterBaseAI	9	1000	10		2
21	177	123	MonsterBaseAI	7	1000	10		2
22	180	119	MonsterBaseAI	7	1000	10		2
23	182	109	MonsterBaseAI	7	1000	10		2
24	187	109	MonsterBaseAI	7	1000	10		2
25	180	104	MonsterBaseAI	7	1000	10		2
26	179	100	MonsterBaseAI	10	1000	10		2
27	176	100	MonsterBaseAI	10	1000	10		2
28	169	84	MonsterBaseAI	10	1000	10		2
29	164	86	MonsterBaseAI	10	1000	10		2
30	160	88	MonsterBaseAI	10	1000	10		2
31	162	76	MonsterBaseAI	10	1000	10		2
32	161	69	MonsterBaseAI	10	1000	10		2
33	157	65	MonsterBaseAI	10	1000	10		2
34	160	62	MonsterBaseAI	10	1000	10		2
