id	sz_name	sz_path	offset	count	isLoops	delay	step
1	caijueUpStand	weapon1/	28800	4	-1	0.2	1
2	caijueUpRightStand	weapon1/	28808	4	-1	0.2	1
3	caijueRightStand	weapon1/	28816	4	-1	0.2	1
4	caijueRightDownStand	weapon1/	28824	4	-1	0.2	1
5	caijueDownStand	weapon1/	28832	4	-1	0.2	1
6	caijueDownLeftStand	weapon1/	28840	4	-1	0.2	1
7	caijueLeftStand	weapon1/	28848	4	-1	0.2	1
8	caijueLeftUpStand	weapon1/	28856	4	-1	0.2	1
9	caijueUpWalk	weapon1/	28864	6	-1	0.2	1
10	caijueUpRightWalk	weapon1/	28872	6	-1	0.2	1
11	caijueRightWalk	weapon1/	28880	6	-1	0.2	1
12	caijueRightDownWalk	weapon1/	28888	6	-1	0.2	1
13	caijueDownWalk	weapon1/	28896	6	-1	0.2	1
14	caijueDownLeftWalk	weapon1/	28904	6	-1	0.2	1
15	caijueLeftWalk	weapon1/	28912	6	-1	0.2	1
16	caijueLeftUpWalk	weapon1/	28920	6	-1	0.2	1
17	caijueUpRun	weapon1/	28928	6	-1	0.2	1
18	caijueUpRightRun	weapon1/	28936	6	-1	0.2	1
19	caijueRightRun	weapon1/	28944	6	-1	0.2	1
20	caijueRightDownRun	weapon1/	28952	6	-1	0.2	1
21	caijueDownRun	weapon1/	28960	6	-1	0.2	1
22	caijueDownLeftRun	weapon1/	28968	6	-1	0.2	1
23	caijueLeftRun	weapon1/	28976	6	-1	0.2	1
24	caijueLeftUpRun	weapon1/	28984	6	-1	0.2	1
25	caijueUpSlash	weapon1/	29000	6	1	0.2	1
26	caijueUpRightSlash	weapon1/	29008	6	1	0.2	1
27	caijueRightSlash	weapon1/	29016	6	1	0.2	1
28	caijueRightDownSlash	weapon1/	29024	6	1	0.2	1
29	caijueDownSlash	weapon1/	29032	6	1	0.2	1
30	caijueDownLeftSlash	weapon1/	29040	6	1	0.2	1
31	caijueLeftSlash	weapon1/	29048	6	1	0.2	1
32	caijueLeftUpSlash	weapon1/	29056	6	1	0.2	1
