id	sz_name	sz_path	offset	count	isLoops	delay	step
1	ManNakedUpStand	hum_png/	0	4	-1	0.2	1
2	ManNakedUpRightStand	hum_png/	8	4	-1	0.2	1
3	ManNakedRightStand	hum_png/	16	4	-1	0.2	1
4	ManNakedRightDownStand	hum_png/	24	4	-1	0.2	1
5	ManNakedDownStand	hum_png/	32	4	-1	0.2	1
6	ManNakedDownLeftStand	hum_png/	40	4	-1	0.2	1
7	ManNakedLeftStand	hum_png/	48	4	-1	0.2	1
8	ManNakedLeftUpStand	hum_png/	56	4	-1	0.2	1
9	ManNakedUpWalk	hum_png/	64	6	-1	0.2	1
10	ManNakedUpRightWalk	hum_png/	72	6	-1	0.2	1
11	ManNakedRightWalk	hum_png/	80	6	-1	0.2	1
12	ManNakedRightDownWalk	hum_png/	88	6	-1	0.2	1
13	ManNakedDownWalk	hum_png/	96	6	-1	0.2	1
14	ManNakedDownLeftWalk	hum_png/	104	6	-1	0.2	1
15	ManNakedLeftWalk	hum_png/	112	6	-1	0.2	1
16	ManNakedLeftUpWalk	hum_png/	120	6	-1	0.2	1
17	ManNakedUpRun	hum_png/	128	6	-1	0.2	1
18	ManNakedUpRightRun	hum_png/	136	6	-1	0.2	1
19	ManNakedRightRun	hum_png/	144	6	-1	0.2	1
20	ManNakedRightDownRun	hum_png/	152	6	-1	0.2	1
21	ManNakedDownRun	hum_png/	160	6	-1	0.2	1
22	ManNakedDownLeftRun	hum_png/	168	6	-1	0.2	1
23	ManNakedLeftRun	hum_png/	176	6	-1	0.2	1
24	ManNakedLeftUpRun	hum_png/	184	6	-1	0.2	1
25	ManNakedUpSlash	hum_png/	200	6	1	0.2	1
26	ManNakedUpRightSlash	hum_png/	208	6	1	0.2	1
27	ManNakedRightSlash	hum_png/	216	6	1	0.2	1
28	ManNakedRightDownSlash	hum_png/	224	6	1	0.2	1
29	ManNakedDownSlash	hum_png/	232	6	1	0.2	1
30	ManNakedDownLeftSlash	hum_png/	240	6	1	0.2	1
31	ManNakedLeftSlash	hum_png/	248	6	1	0.2	1
32	ManNakedLeftUpSlash	hum_png/	256	6	1	0.2	1
33	ManNakedUpDoubleSlash	hum_png/	264	6	1	0.2	1
34	ManNakedUpRightDoubleSlash	hum_png/	272	6	1	0.2	1
35	ManNakedRightDoubleSlash	hum_png/	280	6	1	0.2	1
36	ManNakedRightDownDoubleSlash	hum_png/	288	6	1	0.2	1
37	ManNakedDownDoubleSlash	hum_png/	296	6	1	0.2	1
38	ManNakedDownLeftDoubleSlash	hum_png/	304	6	1	0.2	1
39	ManNakedLeftDoubleSlash	hum_png/	312	6	1	0.2	1
40	ManNakedLeftUpDoubleSlash	hum_png/	320	6	1	0.2	1
#Ê©·¨							
41	ManNakedUpCast	hum_png/	392	6	1	0.2	1
42	ManNakedUpRightCast	hum_png/	400	6	1	0.2	1
43	ManNakedRightCast	hum_png/	408	6	1	0.2	1
44	ManNakedRightDownCast	hum_png/	416	6	1	0.2	1
45	ManNakedDownCast	hum_png/	424	6	1	0.2	1
46	ManNakedDownLeftCast	hum_png/	432	6	1	0.2	1
47	ManNakedLeftCast	hum_png/	440	6	1	0.2	1
48	ManNakedLeftUpCast	hum_png/	448	6	1	0.2	1
